Company Name,Website,Location,LinkedIn,Name
GoodCourse,https://www.goodcourse.co,"London, United Kingdom",https://www.linkedin.com/company/goodcourse,Chris Mansfield
TableFlow,https://tableflow.com,San Francisco,https://www.linkedin.com/company/tableflowhq,Mitch Patin
Truewind,https://www.truewind.ai/,San Francisco,https://www.linkedin.com/company/truewindai/,Truewind
Booth AI,https://booth.ai,,https://www.linkedin.com/company/booth-ai/,Booth AI
BuildJet,https://buildjet.com,"Berlin, Germany",https://www.linkedin.com/company/buildjet/,Adam Shiervani
ShortLoop,https://shortloop.dev/,"Bengaluru, India",https://www.linkedin.com/company/shortloop/,ShortLoop
Wild Moose,https://wildmoose.ai,San Francisco,https://www.linkedin.com/company/wild-moose-ai,Yasmin Dunsky
EzDubs,http://www.ezdubs.ai,San Francisco,https://www.linkedin.com/in/padmanabhan-krishnamurthy/,Padmanabhan Krishnamurthy
GradientJ,https://www.gradientj.com,"Austin, TX",https://www.linkedin.com/company/gradientj/,Oscar A. Martinez
Inkeep,https://inkeep.com,New York,https://www.linkedin.com/company/inkeep/,Nick Gomez
OpenMeter,https://openmeter.io,"Budapest, Hungary",https://www.linkedin.com/company/tailfin-cloud,Peter Marton
Propify,https://getpropify.com,Boston,https://www.linkedin.com/company/getpropify/,Remen Okoruwa
Iliad,https://iliad.ai,"Pittsburgh, PA",https://www.linkedin.com/in/matthew-turnshek-4bb618174/,Matthew Turnshek
Squack,http://squack.io,San Francisco,https://www.linkedin.com/in/elijah-sorey-12aa01108/,Preston Zhou
Floworks,https://floworks.ai/,San Francisco,https://www.linkedin.com/company/floworkssolutions,Sarthak Shrivastava
Extend,https://www.extend.app/,San Francisco,https://www.linkedin.com/company/extend-app,Extend
Langfuse,https://langfuse.com,"Berlin, Germany",https://www.linkedin.com/company/langfuse,Marc Klingen
Outerbase,https://www.outerbase.com,"Pittsburgh, PA",https://www.linkedin.com/company/outerbase,Brandon Strittmatter
Anarchy,https://anarchy.ai,"Zürich, Switzerland",https://www.linkedin.com/company/extensional/,Compilers/MLOps Internship
Dream3D,https://dream3d.com,New York,http://linkedin.com/in/tony-f,Dream3D
Intently,https://www.getintently.ai/,,https://www.linkedin.com/company/intentlyai/,Slava Solonitsyn
Haven,https://www.yourhaven.app/,"Austin, TX",https://www.linkedin.com/in/juan-burgos-0527391b8/,Juan Burgos
Suger,https://www.suger.io/,"San Mateo, CA",https://www.linkedin.com/company/suger-inc,Suger
Frigade,https://frigade.com,San Francisco,https://www.linkedin.com/company/frigade,Eric Brownrout
0pass,https://0pass.com,,https://www.linkedin.com/company/0pass/,Noah Stanford
PoloPay,https://polopay.co/,"Monterrey, Mexico",https://www.linkedin.com/company/81905131/admin/,Andres Richardson
Cloudchipr,https://cloudchipr.com/,"Berlin, Germany",https://www.linkedin.com/company/cloudchipr,Ashot Ayvazyan
Magik,https://magiklabs.app,,https://www.linkedin.com/company/magik-labs,Magik
Chart,https://getcharteditor.com,New York,https://www.linkedin.com/in/fatih-celikbas,Fatih Celikbas
Bujeti,https://www.bujeti.com,"Lagos, Nigeria",https://www.linkedin.com/company/bujeti,Achille AROUKO
Index,https://index.inc,San Francisco,https://www.linkedin.com/in/christian-iacullo,Simon Kubica
Buildt,http://www.buildt.ai,San Francisco,https://www.linkedin.com/company/buildt-ai/,Buildt
Flower,https://flower.dev,"Hamburg, Germany",https://www.linkedin.com/company/flwrlabs,Daniel J. Beutel
LinkGrep,https://linkgrep.com,San Francisco,https://www.linkedin.com/company/linkgrep/,Divyagnan Kandala
Bluebirds,https://www.bluebirds.ai,San Francisco,https://www.linkedin.com/in/rohanpunamia/,Rohan Punamia
Neptyne,https://neptyne.com,New York,https://www.linkedin.com/company/neptyne/,Douwe Osinga
Vooma,https://www.vooma.ai,San Francisco,https://www.linkedin.com/company/vooma-inc,Vooma
CreatorML,https://creatorml.com/,New York,https://www.linkedin.com/company/creatorml,Charles Weill
Coperniq,https://coperniq.io,San Francisco,http://www.linkedin.com/company/69833957,Senior Full Stack Engineer (Backend Focused)
Zenfetch,https://www.zenfetch.com/,New York,https://www.linkedin.com/company/zenfetch/,Akash Mandavilli
PoplarML,http://poplarml.com,San Francisco,https://www.linkedin.com/company/poplarml/,Danna Liu
LaunchFlow,https://launchflow.com/,,https://www.linkedin.com/in/josh-tanke,Josh Tanke
FlexWash,https://www.flexwashtech.com/,"Temecula, CA",https://www.linkedin.com/company/flexwashtech/about/,Karan Toor
Gluetrail,https://www.gluetrail.com,"Paris, France",https://www.linkedin.com/company/gluetrail/,Anne-Charlotte Chauvet
